,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2014-11-21 11:57:00,T0450A,T0451A,T0453,T0451,T0458,X0451B,X0451A,T0460,X0451F,T0459,P0455,X0451C,T0452A,X0451E,X0451D
2014-11-21 11:58:00,T0450A,T0451A,T0453,T0459,T0460,X0451A,T0458,T0452A,X0451F,X0451B,P0455,X0451C,T0451,X0451E,X0451D
2014-11-21 11:59:00,T0450A,T0451A,T0453,T0459,T0460,X0451A,T0458,T0452A,X0451F,X0451B,P0455,X0451C,T0451,X0451E,X0451D
2014-11-21 12:00:00,T0450A,T0451A,T0453,T0459,T0460,X0451A,T0458,T0452A,X0451F,X0451B,P0455,X0451C,T0451,X0451E,X0451D
2014-11-21 12:01:00,T0450A,T0451A,T0453,T0460,T0451,X0451A,T0458,X0451B,X0451F,X0451C,P0455,T0452A,T0459,X0451E,X0451D
2014-11-21 12:02:00,T0450A,T0459,T0451,T0458,T0460,T0451A,T0452A,T0453,X0451B,X0451D,X0451A,X0451E,X0451F,P0455,X0451C
2014-11-21 12:03:00,T0450A,T0459,T0451,T0458,T0460,T0451A,T0452A,T0453,X0451B,X0451D,X0451A,X0451E,X0451F,P0455,X0451C
2014-11-21 12:04:00,T0459,T0458,T0451,T0450A,T0451A,T0460,T0452A,X0451B,T0453,X0451D,P0455,X0451E,X0451A,X0451C,X0451F
2014-11-21 12:05:00,T0459,T0458,T0451,T0450A,T0451A,T0460,T0452A,X0451B,T0453,X0451D,P0455,X0451E,X0451A,X0451C,X0451F
2014-11-21 12:06:00,T0450A,T0451A,T0459,T0451,T0458,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451E,X0451B
2014-11-21 12:07:00,T0450A,T0451A,T0459,T0451,T0458,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451E,X0451B
2014-11-21 12:08:00,T0450A,T0451A,T0451,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,X0451D,P0455
2014-11-21 12:09:00,T0450A,T0451A,T0451,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,X0451D,P0455
2014-11-21 12:10:00,T0450A,T0451A,T0458,T0459,T0451,T0453,T0460,X0451B,X0451A,T0452A,X0451F,X0451C,X0451E,X0451D,P0455
2014-11-21 12:11:00,T0450A,T0451A,T0458,T0459,T0451,T0453,T0460,X0451B,X0451A,T0452A,X0451F,X0451C,X0451E,X0451D,P0455
2014-11-21 12:12:00,T0450A,T0451A,T0451,T0453,T0460,T0458,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 12:13:00,T0450A,T0451A,T0451,T0453,T0460,T0458,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 12:14:00,T0450A,T0451,T0460,T0453,T0458,T0451A,X0451A,T0459,X0451B,P0455,X0451C,X0451E,T0452A,X0451F,X0451D
2014-11-21 12:15:00,T0450A,T0451,T0460,T0453,T0458,T0451A,X0451A,T0459,X0451B,P0455,X0451C,X0451E,T0452A,X0451F,X0451D
2014-11-21 12:16:00,T0450A,T0451A,T0453,T0451,T0460,T0458,T0459,X0451A,X0451B,X0451F,X0451C,P0455,T0452A,X0451E,X0451D
2014-11-21 12:17:00,T0450A,T0451A,T0453,T0451,T0460,T0458,T0459,X0451A,X0451B,X0451F,X0451C,P0455,T0452A,X0451E,X0451D
2014-11-21 12:18:00,T0450A,T0451A,T0451,T0453,T0460,X0451A,X0451B,X0451F,T0458,T0459,X0451C,T0452A,P0455,X0451E,X0451D
2014-11-21 12:19:00,T0450A,T0451A,T0451,T0453,T0460,X0451A,X0451B,X0451F,T0458,T0459,X0451C,T0452A,P0455,X0451E,X0451D
2014-11-21 12:20:00,T0450A,T0451,T0451A,T0460,T0453,T0459,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,X0451E,X0451D,P0455
2014-11-21 12:21:00,T0450A,T0451,T0451A,T0460,T0453,T0459,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,X0451E,X0451D,P0455
2014-11-21 12:22:00,T0450A,T0451,T0460,T0453,T0451A,T0459,X0451A,X0451B,X0451F,X0451C,T0458,T0452A,X0451E,X0451D,P0455
2014-11-21 12:23:00,T0450A,T0451,T0460,T0451A,T0453,T0458,X0451A,T0459,X0451B,X0451C,X0451F,X0451E,T0452A,P0455,X0451D
2014-11-21 12:24:00,T0450A,T0451,T0451A,T0460,T0453,T0459,X0451A,T0458,X0451B,T0452A,X0451F,X0451C,X0451E,X0451D,P0455
2014-11-21 12:25:00,T0450A,T0451,T0460,T0451A,T0453,X0451A,X0451B,T0459,T0458,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 12:26:00,T0450A,T0451,T0460,T0451A,T0453,X0451A,X0451B,T0459,T0458,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
